,Routes,Path,Signal_power (W),Noise_power (W),Latency (s),SNR (dB)
0,A->B,AB,0.001,3.535533905932738e-07,0.0017677669529663686,34.51544993495971
1,A->B,ACDB,0.001,3.030787413755592e-06,0.006236036695667109,25.184445249556184
2,A->B,ACDEFB,0.001,1.366119390089926e-05,0.011306757314866885,18.645113444381728
3,A->B,ACDFB,0.001,6.445178857244195e-06,0.008263047238164326,21.90765026233556
4,A->B,ACEDB,0.001,6.382834627723308e-06,0.00810497128736746,21.94986407520314
5,A->B,ACEDFB,0.001,1.3149273285179628e-05,0.010131981829864677,18.81098248463769
6,A->B,ACEFB,0.001,6.8730786295263266e-06,0.009367805353635282,21.62848687638435
7,A->B,ACEFDB,0.001,1.4085092414673331e-05,0.011245919649091394,18.512402991893183
8,A->B,ADB,0.001,1.1738878731481571e-06,0.003965496089274807,29.303733838368014
9,A->B,ADCEFB,0.001,1.2055404942386591e-05,0.010702816022706969,19.188181970417904
10,A->B,ADEFB,0.001,6.233595738469521e-06,0.009036216708474583,22.05261366038133
11,A->B,ADFB,0.001,2.731379776029324e-06,0.0059925066317720235,25.636179105644203
12,A->C,ABDC,0.001,2.5993898150430268e-06,0.005632095403507193,25.851285870524812
13,A->C,ABDEC,0.001,5.59280007617292e-06,0.007501029995207544,22.523707049640365
14,A->C,ABDFEC,0.001,1.210787376344641e-05,0.010641978356931477,19.169321156411694
15,A->C,ABFDC,0.001,5.678807968946762e-06,0.00765910594600441,22.457428169014726
16,A->C,ABFDEC,0.001,1.175163638398039e-05,0.00952804053770476,19.299016548347097
17,A->C,ABFEC,0.001,6.127712952088269e-06,0.008763864061475366,22.127015870836665
18,A->C,ABFEDC,0.001,1.2670451561122779e-05,0.010702816022706969,18.972079070574235
19,A->C,AC,0.001,4.74341649025257e-07,0.0023717082451262844,33.23908740944319
20,A->C,ADBFEC,0.001,1.2690388812527336e-05,0.010961593197783805,18.965250716367127
21,A->C,ADC,0.001,1.12213243813279e-06,0.0037067189141979716,29.49955883047825
22,A->C,ADEC,0.001,2.6382853223524467e-06,0.005575653505898323,25.786782386522248
23,A->C,ADFEC,0.001,6.1988442558054665e-06,0.008716601867622256,22.07689275036387
24,A->D,ABD,0.001,1.1194173437483137e-06,0.0038293197657751988,29.510079686139974
25,A->D,ABFD,0.001,2.6591264207001814e-06,0.005856330308272415,25.75261014865746
26,A->D,ABFECD,0.001,1.2615981031722936e-05,0.010566639699207361,18.990789726455656
27,A->D,ABFED,0.001,6.15494821678819e-06,0.008900040384974973,22.107755965519576
28,A->D,ACD,0.001,1.309238425596913e-06,0.004174483882858279,28.8298125681667
29,A->D,ACED,0.001,2.985262032580771e-06,0.00604341847455863,25.250175424879213
30,A->D,ACEFBD,0.001,1.415846782161442e-05,0.011429358166444113,18.4898374188787
31,A->D,ACEFD,0.001,6.836390926055782e-06,0.009184366836282563,21.651731109345395
32,A->D,AD,0.001,3.807886552931955e-07,0.001903943276465977,34.193159988825116
33,A->E,ABDCE,0.001,5.552333020679327e-06,0.007399862356473562,22.555244934346877
34,A->E,ABDE,0.001,2.619623342789823e-06,0.0057332630422411756,25.817611483395687
35,A->E,ABDFE,0.001,5.877160186426569e-06,0.008874211403965108,22.308324721011424
36,A->E,ABFDCE,0.001,1.1711169328486796e-05,0.009426872898970779,19.313997396368052
37,A->E,ABFDE,0.001,5.699041496693559e-06,0.007760273584738392,22.441981807662255
38,A->E,ABFE,0.001,2.8870797807474975e-06,0.006996097108508997,25.395412147823674
39,A->E,ACDBFE,0.001,1.359601587339677e-05,0.011464366851209738,18.665883370483332
40,A->E,ACDE,0.001,2.9992655064870213e-06,0.006078427159324256,25.22985087125328
41,A->E,ACDFE,0.001,6.636444513820967e-06,0.009219375521048189,21.780645323170376
42,A->E,ACE,0.001,1.302236688643788e-06,0.0041394751980926535,28.85310073195012
43,A->E,ADBFE,0.001,6.1684177109670314e-06,0.009193826244817436,22.098262245443955
44,A->E,ADCE,0.001,2.5978182668588536e-06,0.00547448586716434,25.8539123373296
