,Path,1,2,3,4,5,6,7,8,9,10
0,AB,0,0,1,1,1,1,1,1,1,1
1,ACDB,0,0,0,0,0,0,0,0,0,0
2,ACDEFB,0,0,0,0,0,0,0,0,0,0
3,ACDFB,0,0,0,0,0,0,0,0,1,1
4,ACEDB,0,0,0,0,0,0,0,0,0,0
5,ACEDFB,0,0,0,0,0,0,0,0,1,1
6,ACEFB,0,0,0,0,0,0,0,1,1,1
7,ACEFDB,0,0,0,0,0,0,0,0,0,0
8,ADB,0,0,0,0,0,0,0,0,0,0
9,ADCEFB,0,0,0,0,0,0,0,0,0,0
10,ADEFB,0,0,0,0,0,0,0,0,0,0
11,ADFB,0,0,0,0,0,0,0,0,1,1
12,ABDC,0,0,0,0,0,0,0,0,0,0
13,ABDEC,0,0,0,0,0,0,0,0,0,0
14,ABDFEC,0,0,0,0,0,0,0,0,1,1
15,ABFDC,0,0,0,0,0,0,0,0,0,0
16,ABFDEC,0,0,0,0,0,0,0,0,0,0
17,ABFEC,0,0,0,0,1,1,1,1,1,1
18,ABFEDC,0,0,0,0,0,0,0,0,0,0
19,AC,0,0,0,0,1,1,1,1,1,1
20,ADBFEC,0,0,0,0,0,0,0,0,0,0
21,ADC,0,0,0,0,0,0,0,0,0,0
22,ADEC,0,0,0,0,0,0,0,0,0,0
23,ADFEC,0,0,0,0,0,0,0,0,1,1
24,ABD,0,0,0,0,1,1,1,1,1,1
25,ABFD,0,0,0,0,0,1,1,1,1,1
26,ABFECD,0,0,0,0,1,1,1,1,1,1
27,ABFED,0,0,0,0,0,0,1,1,1,1
28,ACD,0,0,0,0,1,1,1,1,1,1
29,ACED,0,0,0,0,0,0,1,1,1,1
30,ACEFBD,0,0,0,0,0,0,0,1,1,1
31,ACEFD,0,0,0,0,0,0,0,1,1,1
32,AD,0,0,0,1,1,1,1,1,1,1
33,ABDCE,0,0,0,0,0,0,0,0,0,0
34,ABDE,0,0,0,0,0,0,0,0,0,0
35,ABDFE,0,0,0,0,0,0,0,0,1,1
36,ABFDCE,0,0,0,0,0,0,0,0,0,0
37,ABFDE,0,0,0,0,0,0,0,0,0,0
38,ABFE,0,0,0,1,1,1,1,1,1,1
39,ACDBFE,0,0,0,0,0,0,0,0,0,0
40,ACDE,0,0,0,0,0,0,0,0,0,0
41,ACDFE,0,0,0,0,0,0,0,0,1,1
42,ACE,0,0,0,0,1,1,1,1,1,1
43,ADBFE,0,0,0,0,0,0,0,0,0,0
44,ADCE,0,0,0,0,0,0,0,0,0,0
45,ADE,0,0,0,0,0,0,0,0,0,0
46,ADFE,0,0,0,0,0,0,0,0,1,1
47,ABDCEF,0,0,0,0,0,0,0,0,0,0
48,ABDEF,0,0,0,0,0,0,0,0,0,0
49,ABDF,0,0,0,0,0,0,0,0,1,1
50,ABF,0,0,1,1,1,1,1,1,1,1
51,ACDBF,0,0,0,0,0,0,0,0,0,0
52,ACDEF,0,0,0,0,0,0,0,0,0,0
53,ACDF,0,0,0,0,0,0,0,0,1,1
54,ACEDBF,0,0,0,0,0,0,0,0,0,0
55,ACEDF,0,0,0,0,0,0,0,0,1,1
56,ACEF,0,0,0,0,0,0,0,1,1,1
57,ADBF,0,0,0,0,0,0,0,0,0,0
58,ADCEF,0,0,0,0,0,0,0,0,0,0
